web-scraper-order,web-scraper-start-url,title,body,rating,next,next-href
"1573063107-17940","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good Sound But Feel Weird In My Ear","Giving these 4 stars because they are pretty good ear buds but feel weird in my ear.

Nice sound - similar to the ear buds that came with my iPhone.  Noise cancelling works ok (not as good as Active Noise Cancelling on Bose or even Treblab's over-the-ear phones) & makes the office environment nice.

I like the magnetic power to keep these together around my neck when not wearing them (so they do not flop around).

I am not a huge fan of ear buds because I never feel comfortable wearing them & prefer over the ear headphones.  These, however, seemed even more uncomfortable and cumbuersome, as if bigger or a different shape than cheaper earbuds.  If you can get over that, these are a very nice pair for the price.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_136?ie=UTF8&pageNumber=136&reviewerType=all_reviews"
"1573062957-17406","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great earbuds","Just stop working, very lightly use.
Do not recommend.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_83?ie=UTF8&pageNumber=83&reviewerType=all_reviews"
"1573063126-18010","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good Value","For the price, you get a really great product. Only drawback for me is the battery life. In comparison to the wireless Beats, the battery seems to die a bit quicker. However for the price, it’s a good buy.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_143?ie=UTF8&pageNumber=143&reviewerType=all_reviews"
"1573062792-16772","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","great bass, and volume","These ear buds are phenomenal, great bass, and volume, shake proof. Also I get a solid 7 hours of music playback full volume. The magnet on the back of these make it easy to keep them around your neck. Recharge takes less than 2 hours for me normally, if I use a wall charger. A great buy, price is definitely justified.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews"
"1573063068-17794","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I loved them while I had them","I loved them while I had them. The bass was very deep and punchy, and did not interfere with the mids or highs. The mids and highs were quite crisp and clear. The sound never mixed or sounded distorted and chewy when they were at full volume.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_122?ie=UTF8&pageNumber=122&reviewerType=all_reviews"
"1573063105-17928","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","do not work with Siri","The quality is pretty good, but these do not work with Siri.","2.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_135?ie=UTF8&pageNumber=135&reviewerType=all_reviews"
"1573062949-17385","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I strongly advise everyone to avoid these earbuds. I ...","I strongly advise everyone to avoid these earbuds.  I bought them to use while exercising or working the yard & at first were ok.  After the first month they started shutting down w/ a full charge, failing to take a charge & activating my Google asst on their own.

I'll avoid all TREBLAB products in the future.","1.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_81?ie=UTF8&pageNumber=81&reviewerType=all_reviews"
"1573062916-17261","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Best esr buds","Love these ear buds. Great noise cancelation and comfortable to wear. The magnet ends are toltally awesome","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&reviewerType=all_reviews"
"1573063063-17773","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Not for smaller ears","While these sound fine, they are very uncomfortable for small ears.  I cannot keep them in for any length of time.","2.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_120?ie=UTF8&pageNumber=120&reviewerType=all_reviews"
"1573063048-17739","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very stylish bluetooth earbuds, love them!","Very stylish bluetooth earbuds, love them! Especially magnets, that hold the earphones together around my neck when not using them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_116?ie=UTF8&pageNumber=116&reviewerType=all_reviews"
"1573062875-17098","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Excelente","Excelente","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&pageNumber=52&reviewerType=all_reviews"
"1573062814-16858","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazing Product","The earbuds are amazing. I am a student and use them when walking from class to class. As well as P.E. these earbuds are definetely worth the price. The earbuds feel great after you get used to wearing them. The ear sizes are great. The overall sound quality is just superb. The noise cancelling comes in handy when i'm surrounded by 20+ students talking at once. I highly recommend getting these earbuds. For the price you're getting so much.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews"
"1573062800-16809","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Excellent bluetooth headphones","I have had so many Bluetooth headsets since I bought the moto z. This is by far the best sounding, most comfortable and easiest to pair set I've owned. I have been through dozens and I'm 100% satisfied with these. Treblab will be my go to for future Bluetooth purchases. Battery life is on par with Apple and way less expensive.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1573062884-17137","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Really Love it. Great sound and battery life","Really Love it. Great sound and battery life. Only thing which I dont like is quality of wire, its not very good and flexible.
But still good to have it :)","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&pageNumber=56&reviewerType=all_reviews"
"1573062814-16856","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good","These are good headphones but they are not waterproof
They stay put very well and almost no noise comes in from the sorounding","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews"
"1573062978-17483","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Best headphones I've ever had","The sound is just great, nice deep bass that will make you smile. I'm using these for work and the sound reduction is awesome. They don't move at all and with all the fitment pieces you will find the perfect fit","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_91?ie=UTF8&pageNumber=91&reviewerType=all_reviews"
"1573063078-17833","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","could be good if it lasted longer","microphone went out after 10 mo","2.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_126?ie=UTF8&pageNumber=126&reviewerType=all_reviews"
"1573062970-17452","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Made for giants.","Great low end sound, exactly what I was looking for. You can get better sound but this is right where it should be on price point.

That being said, these were designed for huge ears. I don't have freakishly small ears or anything, I usually use the medium size pads. I might be returning for this reason unfortunately.

The magnetic was another feature I was looking for so you don't have to worry about them falling off your neck.

The bass is so kicking you cannot crank these up.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_88?ie=UTF8&pageNumber=88&reviewerType=all_reviews"
"1573063118-17979","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","There ok","They do work the sound is good but not great. Bass is ok, I got these for work but I wear a hoodie and they stick out far  Enough for the hoodie to hit them. So they come out a little.  In the description says it shows battery percent on my Samsung 8 plus it does not","3.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_140?ie=UTF8&pageNumber=140&reviewerType=all_reviews"
"1573063066-17781","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","very poor bass sound","My expectations in terms of sound quality was higher than the present quality. very poor bass sound, very low sound volume. The battery life is very good. let's see how much time I can enjoy this headset at the GYM","3.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_121?ie=UTF8&pageNumber=121&reviewerType=all_reviews"
"1573063129-18020","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Happy.","Very Happy with product. Sound is good and the charge holds.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_144?ie=UTF8&pageNumber=144&reviewerType=all_reviews"
"1573063139-18054","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I did a lot of research","before I finally settled on Treblab J-1 bluetooth earbuds.  I've had them now since November 2018 and they continue to work well.  Excellent sound quality.  I especially appreciate the bass.  The range is extraordinary.  I've left my phone in the house and gotten halfway down our backyard before connection started to cut out.  I'd guess that was about 30 feet.  They pair easily and quickly with bluetooth car systems and with my iPhone 8 plus.  I'm not a gym rat, but I have walked to work in mist and rain, getting a bit wet in the process, and they still work as well as when I first got them.  Overall, very pleased with this brand and the performance of these headphones.  Excellent value for the money.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_148?ie=UTF8&pageNumber=148&reviewerType=all_reviews"
"1573063090-17877","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","Great sound quality and battery life. The shipping was very fast.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_130?ie=UTF8&pageNumber=130&reviewerType=all_reviews"
"1573063012-17607","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","TREBLAB J1 Bluetooth Earbuds","These are the first Bluetooth earbuds I've owned and I'm happy with my purchase so far. Upon receiving I charged them as instructed until the red light turned blue, about an hour and 15 minutes, then powered  on and connected them to my phone as instructed with no problem.  One of my biggest concerns before purchasing was the sound quality on both ends of a phone call.
I've had had no complaints on the receiving end (multiple calls daily) by anyone that leads me to believe the call is of poor quality and they sound as good as corded ear buds on my end.  I started an audio book to play at 100% volume (not wearing) to see how long the battery would last and got 7 hours and 5 minutes before they died. My only complaint is that the instructions said if I over charge the unit, the battery life will decrease, so I took off 1 star.  I would give this 5 stars if the charging stopped on its own if I couldn't unplug them. I would highly recommend these.

Update Jan 14, 2019 after having two pair for over a year and loving them, they both had one side go out. I read there's a lifetime warranty on these so I contacted the company and they sent me 2 replacement pair. I didn't even have to ship the bad ones back they just asked me to cut the cord on them and send a picture of them destroyed. Great customer service.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_103?ie=UTF8&pageNumber=103&reviewerType=all_reviews"
"1573062884-17140","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great headphones","These sound great, are comfortable and last forever on a charge.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&pageNumber=56&reviewerType=all_reviews"
"1573063075-17821","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Worth every cent","Really are enjoying these headphones. Bought 2 pair 1 for me and 1 for the wife. They work great at the gym they stay in during lifting exercising and the cardio we do.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_125?ie=UTF8&pageNumber=125&reviewerType=all_reviews"
"1573062745-16620","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Beware of the loose bass!","Purchased them more than a month ago. Was looking for good sound , decent comfort and good battery life that wtould last 8 hours to get me through the working day. I own two pairs of Jabra, one of Sony, one JayBird, another pair of Treblab. I’m not going to write an endless review going into all the small details. Let’s just say that the build quality is good, the comfort is good too.
When it comes to sound, well this is it’s Achiles anklet! I’m not sure what genre of music do you have to listen to for the bass to sound good. It’s overpowering, loose and tiresome. To best describe it is to imagine trying to listen to music through a bass heavy cinema theater system! Highs are not much better either. Dull and not crisp at all. You could fiddle with all the eq presets on your player as much as you want, you will not be able to achieve a balanced sound where the bass is punching but tight, mids are natural and the highs precise and crisp.
Like I said, I do have another pair of Treblab and they sound just the same. I thought in the meantime that they have progressed and did some work in that respect but it looks like this is their signature sound and that’s about it.
I think the name Basslab would probably be better to the true nature of the product than Treblab. Would I buy it again? Not without trying that’s for sure.
Add on. Quite a bit of time has passed since writing all of the above. The earphones have connection issues by cutting in and out. Have run some trouble shooting but the result is the same. So I guess the no matter the price, they are not worth the hassle.
I’ve given up on them.","1.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1573062972-17468","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Won't stay in ears","The earbuds were too heavy and wouldn't stay in my ears at all. I never even tried the sound quality because they wouldn't stay in long enough to give it a shot.","1.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_89?ie=UTF8&pageNumber=89&reviewerType=all_reviews"
"1573062989-17531","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Value to your money","The sound effect is amazing, yet with an outstanding grip onto the ears.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_96?ie=UTF8&pageNumber=96&reviewerType=all_reviews"
"1573063115-17969","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great and the price is amazing!","I love these so far. Great sound quality, pairing was easy, call quality and clarity was great as well. I am not a lover of ear buds, but these are the first I've liked. Having bigger ears I appreciate all the sizes and the foam bud option as well. I'll buy these again.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_139?ie=UTF8&pageNumber=139&reviewerType=all_reviews"
"1573063015-17620","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","UPGRADED TO FIVE STARS","EDITED 08/24/19

Why upgrade to a five star rating? Excellent customer service in a world that rarely cares, and a replacement product that really hit the mark.
Trelab contacted me and replaced with TRELAB XR700.

These are a great value.

I have waited almost a week to post my revised review. I used them:

✓All day at work, for 3 days
✓In the garden
✓Heavy yard work in 100 degree weather
✓walked 11k trying to impress my
  Pokemon Go loving kid. Didn't impress the
  kid, but the wireless earbuds made it a
  pleasure.

30 foot range - no problem at all, I'm pretty sure I strayed further than that. This is important to me because it's still hitting 110 here and I have to leave the phone in the house or it'll overheat in a matter of minutes if I leave it in my pocket.

Great sound - I'm really pleased. My test songs were Thunderstruck by 2Cellos, followed by the AC/DC version. I got all the highs, all the lows, all the juice.

Pairing was so simple.

They fit well. I have small ear canals: the soft wire around-the-ear support is very reassuring. There are many fittings included, both firm and soft. I wear one of each so I can still hear the world around me if I choose.

Battery time was all they claimed, a full workday, recharge with their short ribbon connector was two hours or less.

I did sweat, it did not falter.

At one point, first thing in the morning, they stuttered for a few moments. I re-paired them and it stopped stuttering. It hasn't done that again.

So hey, I really put them through these places and they did not disappoint. Great value for the price.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_104?ie=UTF8&pageNumber=104&reviewerType=all_reviews"
"1573062742-16601","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","great value.  recommend.","These are great!  I received my first pair of treblabs xr100s as a gift and loved them.  Unfortunately, I lost them. I got this set as a replacement. These are a step up as far as sound, volume control, fit/ comfort, and waterproofness.  I have not tested the waterproofness of either of them. The sound is quite good and the noise cancelling is almost too good for my needs. The microphone is excellent for phone calls.
There is one thing that I would like the Treblab people to consider for the next model.  Please, do an automatic shut-off feature.  These headphones are easy to accidentally leave on or turn on when I'm putting them away.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1573062894-17172","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","Fantastic sound for the price.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&pageNumber=60&reviewerType=all_reviews"
"1573062778-16730","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Work pretty well overall","Earbuds are good overall.  It took a little while to get the earbuds to fit best in the ear, but once I got it, they fit and stay pretty well.  I've gone on two runs of 30 minutes each with these earbuds, and the first time, they worked well, but the second time, the music didn't sound good whenever I took a step.  While wearing the earbuds inside and mostly stationary, earbuds are very good, and block out most noises.  Earbuds also block out some of the noise while running outside.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1573062769-16692","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great product, great support","I loved these earbuds and purchased a third pair (lost first one, second one was stolen at the gym).  I use them regularly for work and workouts.  Great sound and perfect fit- Apple earbuds don't fir my ears at all.  Love the magnetic connector that keeps them secure around my neck when not in use.
Third pair had a problem after eight months- one earpiece started shorting out.  Within minutes they were corresponding with me and promised me a replacement headset.  Thanks for your prompt and efficient support and service.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1573062870-17076","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great price","Somewhat uncomfortable.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&pageNumber=50&reviewerType=all_reviews"
"1573062861-17039","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good product","Good quality product and sound. Range from phone is around 20-30 ft. I use it for hiking and work occasionally.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&reviewerType=all_reviews"
"1573062877-17106","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Excellent sound and solid fit in the ear","Impressed with the quality for the price.  Excellent sound and solid fit in the ear.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&pageNumber=53&reviewerType=all_reviews"
"1573063123-17992","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","i don't know guys","I got a pair but it was hard to keep them in my ears.  THe adaptes don't work well.","2.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_142?ie=UTF8&pageNumber=142&reviewerType=all_reviews"
"1573063113-17957","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Only good for light jogs!","Pros: good sound quality, good battery life and easy to set up. Decent noise cancellation. The ends have magnets which comes in handy when you start doing intense workouts. Since they won’t stay in, it’s best to just wrap them around your neck.
Cons: right side stopped working after 2 months. The headphones are a bit heavy. They would stay in during light jogs but would immediately fall out during more intense runs. Call quality was awful!
Overall: I would not buy these headphones again.","1.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_138?ie=UTF8&pageNumber=138&reviewerType=all_reviews"
